startup_name,industry,funding_rounds,funding_amount_m_usd,valuation_m_usd,revenue_m_usd,employees,market_share_pct,profitable,year_founded,region,exit_status,profitable_flag,company_age_years,valuation_per_funding_x
Startup_184,E-Commerce,1,251.43,802.02,44.16,1103,1.71,Yes,2007,Asia,Acquired,1,19,3.19
Startup_185,AI,5,69.56,493.39,19.64,3431,1.95,No,1994,South America,Private,0,32,7.09
Startup_186,Cybersecurity,4,249.28,3196.89,18.75,3660,0.3,No,2019,Australia,Acquired,0,7,12.82
Startup_187,Cybersecurity,1,36.54,374.12,9.49,914,3.97,No,2008,North America,Private,0,18,10.24
Startup_188,EdTech,4,14.56,102.6,35.73,192,2.0,No,2012,Australia,Private,0,14,7.05
Startup_189,IoT,2,115.54,1602.11,75.77,4049,4.18,Yes,2002,Europe,Acquired,1,24,13.87
Startup_190,FinTech,3,11.5,141.12,27.72,3761,9.36,Yes,2018,Asia,Private,1,8,12.27
Startup_191,FinTech,1,287.2,1774.54,31.3,2020,4.36,No,2011,Europe,IPO,0,15,6.18
Startup_192,Cybersecurity,5,247.95,2663.85,64.3,2097,8.79,No,1998,Asia,Private,0,28,10.74
Startup_193,EdTech,2,240.33,2439.11,19.66,3649,6.09,Yes,2008,Australia,Private,1,18,10.15
Startup_194,E-Commerce,4,189.12,1477.83,89.71,2135,2.55,No,1995,South America,Private,0,31,7.81
Startup_195,FinTech,2,65.29,483.37,52.07,362,3.62,No,2004,South America,Private,0,22,7.4
Startup_196,E-Commerce,1,155.72,1109.15,44.82,2427,0.93,No,2009,Asia,Private,0,17,7.12
Startup_197,IoT,4,179.38,1866.6,55.83,4262,3.4,No,1998,South America,Acquired,0,28,10.41
Startup_198,FinTech,3,157.75,1310.73,16.69,4550,6.81,Yes,2021,Australia,Acquired,1,5,8.31
Startup_199,FinTech,2,78.44,1018.34,61.39,1502,0.81,No,1993,South America,Private,0,33,12.98
Startup_200,HealthTech,1,154.82,1708.47,36.37,2163,2.13,No,2007,Australia,Private,0,19,11.04
Startup_201,FinTech,5,147.61,566.7,89.73,2560,3.88,No,1994,Europe,Private,0,32,3.84
Startup_202,Gaming,4,298.9,3192.86,16.97,2347,9.82,Yes,2009,Australia,Private,1,17,10.68
Startup_203,AI,2,269.28,1684.01,50.75,2956,7.87,No,2012,North America,Private,0,14,6.25
Startup_204,Gaming,2,139.28,1408.64,59.85,1243,7.36,No,2000,North America,Private,0,26,10.11
Startup_205,EdTech,3,187.07,2088.0,3.44,978,1.25,No,2011,North America,Private,0,15,11.16
Startup_206,EdTech,3,224.49,1295.3,36.43,4732,7.83,No,1993,Asia,Private,0,33,5.77
Startup_207,E-Commerce,5,10.94,92.8,73.29,3970,7.87,No,2018,Asia,Private,0,8,8.48
Startup_208,Gaming,5,268.53,1418.89,82.06,1055,6.05,Yes,2002,Asia,Acquired,1,24,5.28
Startup_209,Gaming,1,258.11,936.44,31.38,3706,9.9,No,1998,Australia,IPO,0,28,3.63
Startup_210,Gaming,1,137.5,1036.99,79.88,2785,3.32,No,2020,Asia,Private,0,6,7.54
Startup_211,IoT,5,117.66,865.43,96.78,1593,9.42,Yes,1996,Europe,IPO,1,30,7.36
Startup_212,FinTech,5,82.25,1229.29,85.7,3883,9.16,No,1993,North America,Private,0,33,14.95
Startup_213,AI,4,143.26,1197.11,11.85,2373,0.21,No,2008,Australia,Private,0,18,8.36
Startup_214,E-Commerce,3,13.79,96.57,74.0,441,4.56,No,2019,North America,Private,0,7,7.0
Startup_215,Gaming,1,255.73,2548.53,32.03,2833,9.77,Yes,2020,Asia,Private,1,6,9.97
Startup_216,Gaming,3,11.11,45.16,98.84,1561,1.12,No,2010,Australia,Private,0,16,4.06
Startup_217,HealthTech,3,99.05,1440.19,48.59,3863,5.52,Yes,2020,South America,Private,1,6,14.54
Startup_218,E-Commerce,5,279.51,2968.26,12.33,1309,9.79,Yes,2008,Europe,Private,1,18,10.62
Startup_219,Gaming,4,220.7,2661.21,72.55,2389,5.6,No,2020,Asia,Private,0,6,12.06
Startup_220,E-Commerce,2,84.78,427.78,32.37,187,1.98,Yes,2021,Asia,Private,1,5,5.05
Startup_221,FinTech,4,76.17,602.79,99.71,1594,5.86,No,1991,Europe,Private,0,35,7.91
Startup_222,HealthTech,4,2.02,16.31,97.98,1592,2.12,No,1999,Europe,Private,0,27,8.07
Startup_223,E-Commerce,3,208.87,2686.42,65.65,664,5.25,Yes,1991,South America,Private,1,35,12.86
Startup_224,AI,4,15.11,45.55,13.07,164,0.83,Yes,1991,Asia,Private,1,35,3.01
Startup_225,AI,1,160.01,1057.7,68.72,3958,6.09,Yes,2013,Asia,Private,1,13,6.61
Startup_226,EdTech,3,288.66,4264.9,9.39,1016,5.22,No,2006,North America,Private,0,20,14.77
Startup_227,HealthTech,1,33.29,289.58,3.03,57,7.43,No,2021,Australia,Private,0,5,8.7
Startup_228,HealthTech,2,268.4,2037.24,82.31,2312,6.34,Yes,2005,Australia,Private,1,21,7.59
Startup_229,EdTech,3,297.45,1320.07,21.05,1233,5.54,No,2005,North America,Private,0,21,4.44
Startup_230,E-Commerce,2,18.92,277.93,37.96,1040,6.93,No,2020,Australia,Private,0,6,14.69
Startup_231,HealthTech,3,264.93,858.46,97.35,3707,1.53,No,2013,Europe,Private,0,13,3.24
Startup_232,AI,5,155.07,1836.98,33.75,4050,5.99,No,1990,Australia,Private,0,36,11.85
Startup_233,AI,4,272.0,3324.71,29.72,4950,1.8,Yes,2000,Australia,Private,1,26,12.22
Startup_234,Gaming,5,171.61,1016.6,91.83,4454,9.26,No,2010,North America,Private,0,16,5.92
Startup_235,FinTech,2,198.8,2198.47,11.16,1269,0.78,Yes,1993,South America,Acquired,1,33,11.06
Startup_236,HealthTech,4,163.36,672.25,75.98,1889,4.36,No,1996,Australia,Private,0,30,4.12
Startup_237,E-Commerce,3,259.42,1578.46,98.81,1814,6.99,Yes,2015,Australia,Private,1,11,6.08
Startup_238,EdTech,4,220.31,2743.92,90.14,3172,4.63,No,2001,South America,Private,0,25,12.45
Startup_239,EdTech,1,156.62,2094.99,65.2,3802,1.01,No,2020,North America,Private,0,6,13.38
Startup_240,E-Commerce,4,260.51,2683.73,31.47,2346,5.58,No,2006,South America,Private,0,20,10.3
Startup_241,IoT,1,73.96,671.71,25.51,3419,6.45,No,2022,North America,Private,0,4,9.08
Startup_242,Cybersecurity,4,47.62,233.89,81.94,822,7.07,No,2000,Europe,Acquired,0,26,4.91
Startup_243,FinTech,1,48.54,182.38,87.99,2442,3.8,Yes,2017,North America,Private,1,9,3.76
Startup_244,EdTech,2,100.54,443.56,52.59,893,5.68,Yes,2021,Europe,Private,1,5,4.41
Startup_245,HealthTech,5,71.99,412.38,24.51,672,4.56,No,1990,Europe,IPO,0,36,5.73
Startup_246,FinTech,3,279.06,1981.35,11.38,4733,6.75,No,2017,North America,IPO,0,9,7.1
Startup_247,HealthTech,4,32.2,243.78,8.81,2629,5.88,No,1996,Asia,Private,0,30,7.57
Startup_248,IoT,5,209.85,1501.66,71.94,4237,5.3,No,1991,North America,Private,0,35,7.16
Startup_249,AI,3,57.17,335.51,42.07,4528,2.57,Yes,2013,Australia,IPO,1,13,5.87
Startup_250,FinTech,3,264.55,2411.82,90.55,823,0.12,Yes,1993,Australia,Private,1,33,9.12
Startup_251,Gaming,1,288.41,3721.48,73.99,2193,1.82,No,2008,Asia,Private,0,18,12.9
Startup_252,EdTech,2,139.91,889.33,19.21,1111,1.26,No,2015,Europe,Private,0,11,6.36
Startup_253,FinTech,2,263.78,3774.33,61.42,2229,4.55,No,2000,Asia,Private,0,26,14.31
Startup_254,FinTech,5,2.04,27.5,43.61,202,6.16,Yes,2000,Australia,Private,1,26,13.48
Startup_255,FinTech,2,246.07,1215.87,57.77,2676,2.21,No,1992,Asia,Private,0,34,4.94
Startup_256,Cybersecurity,4,68.97,857.66,73.83,3497,9.4,Yes,2001,North America,Private,1,25,12.44
